"11"," 1. What is the personal information that we collect?    Depending on how you choose to interact with the Barnes & Noble enterprise, we may collect personal information from you, for example your name, e-mail address, billing address, shipping address, phone number, credit card or bank account information, date of birth and other persistent identifiers that can be used to personally identify you. If you rent, purchase or otherwise place orders for textbooks or e-textbooks from Barnes & Noble College Booksellers, we may also collect your student or faculty identification number, financial aid number, your driver license number, information regarding courses you enroll in or teach, your program of study and graduation year. We may also collect other personal information regarding your interaction with Barnes & Noble Websites, Devices and Apps, including usage information, the items that you browse, purchase, download, read, watch and otherwise access, and your geographic location. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Basic service/feature","First Party Collection/Use"
"11"," 1. What is the personal information that we collect?    Depending on how you choose to interact with the Barnes & Noble enterprise, we may collect personal information from you, for example your name, e-mail address, billing address, shipping address, phone number, credit card or bank account information, date of birth and other persistent identifiers that can be used to personally identify you. If you rent, purchase or otherwise place orders for textbooks or e-textbooks from Barnes & Noble College Booksellers, we may also collect your student or faculty identification number, financial aid number, your driver license number, information regarding courses you enroll in or teach, your program of study and graduation year. We may also collect other personal information regarding your interaction with Barnes & Noble Websites, Devices and Apps, including usage information, the items that you browse, purchase, download, read, watch and otherwise access, and your geographic location. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Basic service/feature","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Personalization/Customization","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Personalization/Customization","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Basic service/feature","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Marketing","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Additional service/feature","First Party Collection/Use"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Service operation and security","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Marketing","First Party Collection/Use"
"13","Your personal information also allows us to communicate with you about special offers, promotions, and other marketing programs and news that may be of interest to you. You always have the opportunity to unsubscribe from promotional emails by following the instructions included in each marketing email or by changing your preferences in your account. You may unsubscribe from mobile notifications by changing your settings in the Apps or on your Barnes & Noble or third party device.  ","Other","User Choice/Control"
"14"," 3. How do we collect your personal information?     (a) Information that you provide to us    As a general matter, you can browse in our stores and on the Barnes & Noble Websites without submitting your personal information to us, although we may receive and collect certain personal information automatically, as outlined in Section 3(b) of this Privacy Policy, including site analytics regarding our websites, information your Internet browser automatically sends when you visit our websites, and information collected by cookies.  ","Analytics/Research","First Party Collection/Use"
"15","However, there are a number of circumstances in which you may need to provide us with your personal information. The most common of these circumstances include:     Making a purchase or placing an order     Creating an account or joining the Member Loyalty Program     Applying for a Barnes & Noble MasterCard     Using specific features of Barnes & Noble Websites, Devices and Apps     Contacting customer service     Additional Barnes & Noble Website, Device or App Features     Interacting with social networking sites     Entering a sweepstakes or contest     Publishing through NOOK Press     Signing up for promotional communications or using Invite-a-Friend or NOOK Press Collaborator emails  ","Basic service/feature","First Party Collection/Use"
"15","However, there are a number of circumstances in which you may need to provide us with your personal information. The most common of these circumstances include:     Making a purchase or placing an order     Creating an account or joining the Member Loyalty Program     Applying for a Barnes & Noble MasterCard     Using specific features of Barnes & Noble Websites, Devices and Apps     Contacting customer service     Additional Barnes & Noble Website, Device or App Features     Interacting with social networking sites     Entering a sweepstakes or contest     Publishing through NOOK Press     Signing up for promotional communications or using Invite-a-Friend or NOOK Press Collaborator emails  ","Additional service/feature","First Party Collection/Use"
"17"," Making a purchase or placing an order    When you make a purchase, rent or place an order in our stores, place an order online or purchase, download, rent or stream books, periodicals, movies, television shows and other digital content (""Digital Content""), you may need to submit personal information to us.  ","Basic service/feature","First Party Collection/Use"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Basic service/feature","First Party Collection/Use"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Basic service/feature","First Party Collection/Use"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Additional service/feature","First Party Collection/Use"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Additional service/feature","First Party Collection/Use"
"19"," Applying for a Barnes & Noble MasterCard    When you apply for a Barnes & Noble MasterCard, you will need to submit personal information directly to the issuer of the MasterCard. Personal information that you provide directly to the issuer is subject to the bank's privacy policies, practices and procedures, not Barnes & Noble's.  ","Basic service/feature","Third Party Sharing/Collection"
"19"," Applying for a Barnes & Noble MasterCard    When you apply for a Barnes & Noble MasterCard, you will need to submit personal information directly to the issuer of the MasterCard. Personal information that you provide directly to the issuer is subject to the bank's privacy policies, practices and procedures, not Barnes & Noble's.  ","Additional service/feature","Third Party Sharing/Collection"
"20","In addition, we disclose certain personal information to the issuer of the MasterCard in connection with the administration of the Barnes & Noble MasterCard program. The issuer does not have the right to use the personal information we provide beyond what is necessary to assist us or to administer this program. The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.  ","Basic service/feature","Third Party Sharing/Collection"
"20","In addition, we disclose certain personal information to the issuer of the MasterCard in connection with the administration of the Barnes & Noble MasterCard program. The issuer does not have the right to use the personal information we provide beyond what is necessary to assist us or to administer this program. The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.  ","Basic service/feature","Third Party Sharing/Collection"
"20","In addition, we disclose certain personal information to the issuer of the MasterCard in connection with the administration of the Barnes & Noble MasterCard program. The issuer does not have the right to use the personal information we provide beyond what is necessary to assist us or to administer this program. The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.  ","Additional service/feature","Third Party Sharing/Collection"
"21"," Using specific features of Barnes & Noble Websites, Devices and Apps    Barnes & Noble Websites, Devices and Apps may provide you with the ability to enter (either directly, or by authorizing Barnes & Noble to download the information from a third party such as a social networking website) your information such as your contacts, calendar entries or photos, or images you may submit to us to help us locate products for you. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Marketing","First Party Collection/Use"
"21"," Using specific features of Barnes & Noble Websites, Devices and Apps    Barnes & Noble Websites, Devices and Apps may provide you with the ability to enter (either directly, or by authorizing Barnes & Noble to download the information from a third party such as a social networking website) your information such as your contacts, calendar entries or photos, or images you may submit to us to help us locate products for you. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Basic service/feature","First Party Collection/Use"
"21"," Using specific features of Barnes & Noble Websites, Devices and Apps    Barnes & Noble Websites, Devices and Apps may provide you with the ability to enter (either directly, or by authorizing Barnes & Noble to download the information from a third party such as a social networking website) your information such as your contacts, calendar entries or photos, or images you may submit to us to help us locate products for you. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Additional service/feature","First Party Collection/Use"
"22"," Contacting Customer Service    When you contact customer service, we may ask you to provide, or confirm, personal information so that we can better serve you.  ","Personalization/Customization","First Party Collection/Use"
"22"," Contacting Customer Service    When you contact customer service, we may ask you to provide, or confirm, personal information so that we can better serve you.  ","Additional service/feature","First Party Collection/Use"
"23"," Additional Website, Device or App Features    From time to time we may offer or provide new or additional Barnes & Noble Website, Device or App features and functionality. Such features or functionality may request or require you to submit personal information to us in order to use such feature or functionality.  ","Basic service/feature","First Party Collection/Use"
"23"," Additional Website, Device or App Features    From time to time we may offer or provide new or additional Barnes & Noble Website, Device or App features and functionality. Such features or functionality may request or require you to submit personal information to us in order to use such feature or functionality.  ","Additional service/feature","First Party Collection/Use"
"24"," Entering a sweepstakes or contest    If you enter a sweepstakes or contest we offer, we may ask you to provide personal information so that we can consider your entry and, if you win, so that you may redeem your prize.  ","Additional service/feature","First Party Collection/Use"
"24"," Entering a sweepstakes or contest    If you enter a sweepstakes or contest we offer, we may ask you to provide personal information so that we can consider your entry and, if you win, so that you may redeem your prize.  ","Marketing","First Party Collection/Use"
"25"," Interacting with social networking sites    Our Devices and Apps may provide you with the ability to enter (directly, or by authorizing us to download the information from a third party such as a social networking site or application) personal information such as contacts or lists of friends. These or related applications may also allow you to provide information directly to social networking sites including information about your purchases, physical location, or comments. However, we will not provide any of your information to social networking sites without your express consent.  ","Additional service/feature","First Party Collection/Use"
"25"," Interacting with social networking sites    Our Devices and Apps may provide you with the ability to enter (directly, or by authorizing us to download the information from a third party such as a social networking site or application) personal information such as contacts or lists of friends. These or related applications may also allow you to provide information directly to social networking sites including information about your purchases, physical location, or comments. However, we will not provide any of your information to social networking sites without your express consent.  ","Additional service/feature","Third Party Sharing/Collection"
"26"," Publishing through NOOK Press    If you elect to publish your content via our NOOK Press service, we may ask you to provide your bank account and routing information so that we can direct payments to you.  ","Basic service/feature","First Party Collection/Use"
"27"," Signing up for promotional communications or using Invite-a-Friend or NOOK Press Collaborator emails    If you sign up to receive promotional communications or notifications from us, we may ask you to provide personal information so that we can provide these to you.  ","Marketing","First Party Collection/Use"
