"1","Penguin Random House LLC (""PRH"", ""we"", ""us"", or ""our"") respects your concerns about privacy and values the relationship we have with you. This Privacy Policy describes our privacy practices with respect to information collected through our websites, applications, and any other online service that links to this Privacy Policy, including any websites and online services we operate on behalf of our authors (collectively referred to as the ""Sites""). By using our Sites, you are accepting the practices described in this Privacy Policy. If you do not agree to the terms of this Privacy Policy, please do not use the Sites. We reserve the right to modify or amend the terms of our Privacy Policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes.  ","Dont use service/feature"
"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Dont use service/feature"
"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Opt-in"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Opt-in"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Opt-in"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Opt-in"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Opt-in"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Opt-in"
"9"," Cookies, Flash Cookies and Web Beacons    Like many websites, we use cookies, flash cookies, web beacons or similar technologies. ""Cookies"" are small text files that are stored on your computer or other device when you visit certain online pages that record your preferences and actions. We use cookies for a variety of purposes, including remembering you and your preferences, tracking your use of our Sites, and facilitating your payment transactions. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to decline cookies. However, please note that refusing a cookie may limit your access to the Sites.  ","Browser/device privacy controls"
"10","A ""flash cookie"" is a data file placed on your device via the Adobe Flash plug-in, which may be built-in or downloaded by you to your computer or other device. Flash cookies may be used for various purposes, such as enabling a Flash feature and remembering your preferences. If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly. For more information about the privacy choices Adobe offers, visit: http://www.macromedia.com/support/documentation/en/flashplayer/help/settings_manager.html.  ","Browser/device privacy controls"
"10","A ""flash cookie"" is a data file placed on your device via the Adobe Flash plug-in, which may be built-in or downloaded by you to your computer or other device. Flash cookies may be used for various purposes, such as enabling a Flash feature and remembering your preferences. If you choose to adjust your Flash privacy settings in your device, some features of the Sites may not function properly. For more information about the privacy choices Adobe offers, visit: http://www.macromedia.com/support/documentation/en/flashplayer/help/settings_manager.html.  ","Browser/device privacy controls"
"12"," Targeted Advertising    We may allow third parties to use cookies, web beacons and similar technologies to better understand your behavior and browsing activities, so that we can serve you targeted advertising while you are on our Sites and display our ads to you when you visit other third party sites. For example, we work with third party network advertisers who may set these technologies to better provide advertisements about goods and services that may be of interest to you. We do not control these third party technologies, and they are not subject to this Privacy Policy. We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us. They may, however, track your Internet usage anonymously (that is, without being able to identify you personally) over time and across other websites in their networks beyond our Sites. To learn more about the use of this information or to opt out of having this information used by our third party network advertisers, please visit the Network Advertising Initiative by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Opt-out link"
"18"," Who We Share Your Information With     Personal Information    Except as disclosed in this Privacy Policy, we do not use or disclose your personal information to any companies not part of the PRH family of companies. Although, as disclosed below, we may provide your personal information to our business partners, in no event will we sell or rent your personal information as part of a customer list or similar transaction without your express permission.  ","Opt-in"
