"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Explicit","First Party Collection/Use"
"4"," Information You Provide Directly To Us:    We may ask you to provide your personal information, demographic information or information about your preferences or interests when you:     Register for an account on the Sites     Sign up to receive email newsletters from us     Make a purchase on the Sites     Enter a contest or sweepstakes     Participate in surveys or special promotions     Participate on social media accounts involving our authors, books or brands     Participate in communities or forums on the Sites     Submit user generated content on any part of the Sites that permit it     Knowingly volunteer information on any other part of the Sites (e.g., request for customer service, submit a job application)  ","Explicit","First Party Collection/Use"
"5"," Information Collected Using Technology:    In addition to any information you provide directly to us, we and our third party service providers may use a variety of technologies that automatically collect certain non-personal information when you interact with the Sites or emails sent to you, including the following:  ","Implicit","First Party Collection/Use"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Explicit","First Party Collection/Use"
"8"," Location Information    Some of our applications may deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.  ","Explicit","First Party Collection/Use"
"9"," Cookies, Flash Cookies and Web Beacons    Like many websites, we use cookies, flash cookies, web beacons or similar technologies. ""Cookies"" are small text files that are stored on your computer or other device when you visit certain online pages that record your preferences and actions. We use cookies for a variety of purposes, including remembering you and your preferences, tracking your use of our Sites, and facilitating your payment transactions. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to decline cookies. However, please note that refusing a cookie may limit your access to the Sites.  ","Implicit","First Party Collection/Use"
"9"," Cookies, Flash Cookies and Web Beacons    Like many websites, we use cookies, flash cookies, web beacons or similar technologies. ""Cookies"" are small text files that are stored on your computer or other device when you visit certain online pages that record your preferences and actions. We use cookies for a variety of purposes, including remembering you and your preferences, tracking your use of our Sites, and facilitating your payment transactions. Most web browsers automatically accept cookies, but, if you prefer, you can usually modify your browser setting to decline cookies. However, please note that refusing a cookie may limit your access to the Sites.  ","Implicit","First Party Collection/Use"
"11","A ""web beacon"" (also known as an ""action tag"", ""tracer tag"", or ""single-pixel GIF"") is an invisible graphic that is programmed only to collect non-personal information about your use of our Sites or emails sent to you. Web beacons may be used for a number of purposes, including counting visitors to the Sites, monitoring how users navigate the Sites, counting how many emails were opened or how many links were viewed, and providing you with content customized to your interests.  ","Implicit","First Party Collection/Use"
"12"," Targeted Advertising    We may allow third parties to use cookies, web beacons and similar technologies to better understand your behavior and browsing activities, so that we can serve you targeted advertising while you are on our Sites and display our ads to you when you visit other third party sites. For example, we work with third party network advertisers who may set these technologies to better provide advertisements about goods and services that may be of interest to you. We do not control these third party technologies, and they are not subject to this Privacy Policy. We do not authorize these third party network advertisers to use this technology to collect personal information about you and they do not have access to your personal information from us. They may, however, track your Internet usage anonymously (that is, without being able to identify you personally) over time and across other websites in their networks beyond our Sites. To learn more about the use of this information or to opt out of having this information used by our third party network advertisers, please visit the Network Advertising Initiative by clicking http://www.networkadvertising.org/managing/opt_out.asp.  ","Implicit","First Party Collection/Use"
"14"," Collection of Information From Other Third Party Sources    We may also collect personal and non-personal information about you from other sources to, among other things, enable us to supplement the information contained in our database and to better customize your experience with PRH.  ","Implicit","First Party Collection/Use"
