"2","  Mailing Lists & Service Emails - Kinja may launch a mailing list, in order to provide subscribers with relevant information - breaking news, or weekly or daily round-ups, for example. In order to sign up to receive regular emails from a site's mailing list, users must submit information including a valid email address and demographic information such as location and interests. This information may be used in aggregate form in order to assess general user interest in various internal and third party products and services. Your personal and contact information will not be passed to any other organization. Users who choose to sign up for a mailing list may receive regular emails from the site. Kinja may from time to time track user email usage in a continued effort to improve our services. Most of the time, these communications will consist of content from the site in question, but we may occasionally send out an email from a third party sponsor. Since editorial independence is critical to us, you can be sure that we will always mark sponsored content as such, including in emails. If you do not wish to receive emails from third party advertisers, please do not sign up for the mailing list.  ","Aggregated or anonymized"
"2","  Mailing Lists & Service Emails - Kinja may launch a mailing list, in order to provide subscribers with relevant information - breaking news, or weekly or daily round-ups, for example. In order to sign up to receive regular emails from a site's mailing list, users must submit information including a valid email address and demographic information such as location and interests. This information may be used in aggregate form in order to assess general user interest in various internal and third party products and services. Your personal and contact information will not be passed to any other organization. Users who choose to sign up for a mailing list may receive regular emails from the site. Kinja may from time to time track user email usage in a continued effort to improve our services. Most of the time, these communications will consist of content from the site in question, but we may occasionally send out an email from a third party sponsor. Since editorial independence is critical to us, you can be sure that we will always mark sponsored content as such, including in emails. If you do not wish to receive emails from third party advertisers, please do not sign up for the mailing list.  ","Identifiable"
"2","  Mailing Lists & Service Emails - Kinja may launch a mailing list, in order to provide subscribers with relevant information - breaking news, or weekly or daily round-ups, for example. In order to sign up to receive regular emails from a site's mailing list, users must submit information including a valid email address and demographic information such as location and interests. This information may be used in aggregate form in order to assess general user interest in various internal and third party products and services. Your personal and contact information will not be passed to any other organization. Users who choose to sign up for a mailing list may receive regular emails from the site. Kinja may from time to time track user email usage in a continued effort to improve our services. Most of the time, these communications will consist of content from the site in question, but we may occasionally send out an email from a third party sponsor. Since editorial independence is critical to us, you can be sure that we will always mark sponsored content as such, including in emails. If you do not wish to receive emails from third party advertisers, please do not sign up for the mailing list.  ","Aggregated or anonymized"
"2","  Mailing Lists & Service Emails - Kinja may launch a mailing list, in order to provide subscribers with relevant information - breaking news, or weekly or daily round-ups, for example. In order to sign up to receive regular emails from a site's mailing list, users must submit information including a valid email address and demographic information such as location and interests. This information may be used in aggregate form in order to assess general user interest in various internal and third party products and services. Your personal and contact information will not be passed to any other organization. Users who choose to sign up for a mailing list may receive regular emails from the site. Kinja may from time to time track user email usage in a continued effort to improve our services. Most of the time, these communications will consist of content from the site in question, but we may occasionally send out an email from a third party sponsor. Since editorial independence is critical to us, you can be sure that we will always mark sponsored content as such, including in emails. If you do not wish to receive emails from third party advertisers, please do not sign up for the mailing list.  ","Identifiable"
"3","  Comment Service and Account Information In order to further enhance the user experience, Kinja allows users to comment on some or all of Kinja sites, enabling users to discuss and contribute to topics posted to those sites. Users have the option of signing up for this service, and to do so must either submit some valid information or set up an anonymous account. Kinja uses this information to screen out users who leave comments prohibited by our Terms of Use, to make notifications to users when necessary, to pick out topics of interest to commenters, and in certain circumstances to create a Kinja ""page"" for each such user where such user's contributions are collected. You may link your account to certain Third Party Services and to do so, may be required to provide your login information for those services. If you login via a Third Party Service, we will receive an identifying token from that service, which will allow us to access some information from your account on that service, so that we can, for example, send you a message through that service. Kinja does not receive or store passwords from your Third Party Service and will not pass information provided when you register via a Third Party Service to any other organization except in aggregate form.  ","Identifiable"
"3","  Comment Service and Account Information In order to further enhance the user experience, Kinja allows users to comment on some or all of Kinja sites, enabling users to discuss and contribute to topics posted to those sites. Users have the option of signing up for this service, and to do so must either submit some valid information or set up an anonymous account. Kinja uses this information to screen out users who leave comments prohibited by our Terms of Use, to make notifications to users when necessary, to pick out topics of interest to commenters, and in certain circumstances to create a Kinja ""page"" for each such user where such user's contributions are collected. You may link your account to certain Third Party Services and to do so, may be required to provide your login information for those services. If you login via a Third Party Service, we will receive an identifying token from that service, which will allow us to access some information from your account on that service, so that we can, for example, send you a message through that service. Kinja does not receive or store passwords from your Third Party Service and will not pass information provided when you register via a Third Party Service to any other organization except in aggregate form.  ","Identifiable"
"3","  Comment Service and Account Information In order to further enhance the user experience, Kinja allows users to comment on some or all of Kinja sites, enabling users to discuss and contribute to topics posted to those sites. Users have the option of signing up for this service, and to do so must either submit some valid information or set up an anonymous account. Kinja uses this information to screen out users who leave comments prohibited by our Terms of Use, to make notifications to users when necessary, to pick out topics of interest to commenters, and in certain circumstances to create a Kinja ""page"" for each such user where such user's contributions are collected. You may link your account to certain Third Party Services and to do so, may be required to provide your login information for those services. If you login via a Third Party Service, we will receive an identifying token from that service, which will allow us to access some information from your account on that service, so that we can, for example, send you a message through that service. Kinja does not receive or store passwords from your Third Party Service and will not pass information provided when you register via a Third Party Service to any other organization except in aggregate form.  ","Identifiable"
"3","  Comment Service and Account Information In order to further enhance the user experience, Kinja allows users to comment on some or all of Kinja sites, enabling users to discuss and contribute to topics posted to those sites. Users have the option of signing up for this service, and to do so must either submit some valid information or set up an anonymous account. Kinja uses this information to screen out users who leave comments prohibited by our Terms of Use, to make notifications to users when necessary, to pick out topics of interest to commenters, and in certain circumstances to create a Kinja ""page"" for each such user where such user's contributions are collected. You may link your account to certain Third Party Services and to do so, may be required to provide your login information for those services. If you login via a Third Party Service, we will receive an identifying token from that service, which will allow us to access some information from your account on that service, so that we can, for example, send you a message through that service. Kinja does not receive or store passwords from your Third Party Service and will not pass information provided when you register via a Third Party Service to any other organization except in aggregate form.  ","Identifiable"
"3","  Comment Service and Account Information In order to further enhance the user experience, Kinja allows users to comment on some or all of Kinja sites, enabling users to discuss and contribute to topics posted to those sites. Users have the option of signing up for this service, and to do so must either submit some valid information or set up an anonymous account. Kinja uses this information to screen out users who leave comments prohibited by our Terms of Use, to make notifications to users when necessary, to pick out topics of interest to commenters, and in certain circumstances to create a Kinja ""page"" for each such user where such user's contributions are collected. You may link your account to certain Third Party Services and to do so, may be required to provide your login information for those services. If you login via a Third Party Service, we will receive an identifying token from that service, which will allow us to access some information from your account on that service, so that we can, for example, send you a message through that service. Kinja does not receive or store passwords from your Third Party Service and will not pass information provided when you register via a Third Party Service to any other organization except in aggregate form.  ","Aggregated or anonymized"
"4","  Cookies Kinja or third parties may use cookies, web beacons, HTML5 local storage, java script, and other similar technologies to help us understand how you use the Services and help us provide the Services and advertising to you. A cookie is a piece of data stored on the user's computer tied to information about the user. We may use both session ID cookies and persistent cookies. For the session ID cookie, once the user closes the browser, the cookie simply terminates. A persistent cookie is a small text file stored on the user's hard drive for an extended period of time. Persistent cookies can be removed by following the user's internet browser help file directions. We store a cookie on each user's machine that contains user specific information. You can configure your browser to accept all cookies, reject all cookies, or notify you when a cookie is set. If you reject all cookies, you will not be able to use Services that require you to ""sign in,"" and you may not be able to take full advantage of all offerings. However, not all Services require that you accept cookies.  ","Identifiable"
