"4","d. Except as specified herein, this policy also does not apply to information you may provide to us offline; however please do be aware that if you subscribe offline to one of the magazines published by Hearst (""Magazines""), from time to time we make your postal addresses available to companies for marketing purposes.  ","Unnamed third party","Third Party Sharing/Collection"
"6","2. Collection of Information   a. Information You Provide. Hearst generally collects Personally Identifiable Information that you voluntarily provide. For instance, when you enter a sweepstakes or contest, complete a survey, participate in a reader panel, register for those portions of our Covered Sites that may require registration, make a purchase,participate in our social networking features, request back issues of our Magazines, subscribe to our Magazines, subscribe to receive newsletters,promotional correspondence, or other electronic services, or send us an email or feedback, you may be asked to provide information such as your e-mail address, name, phone number, shipping address, and billing information, and we will collect such information as well as any other content you provide us in engaging in any of the above activities. Information such as your age, gender, hobbies or interests may also be requested. If you elect to post material to any blogs, forums, participate in our social networking features or other community boards that may be offered on our Covered Sites, then such materials will be collected and may be publicly available for others to view.  ","Public","Third Party Sharing/Collection"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Unnamed third party","Third Party Sharing/Collection"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Unnamed third party","Third Party Sharing/Collection"
"7","b. Cookies.   (i) Hearst (or third party service providers on our behalf) may set and access cookies and similar technologies on your computer. A cookie is a small amount of data (often including a unique identifier), that is sent to your browser from a web site's computers and stored on your computer's hard drive. Some of our cookies may be local shared objects, also known as Flash cookies. Cookies may be session cookies (which expire once you close your web browser) and persistent cookies (which stay on your computer until you delete them). Hearst uses cookies to understand site usage and to improve the content and offerings on our Covered Sites and in other media. We may use cookies to control the display of ads, to track usage patterns on the sites, to deliver editorial content, to record requests for subscriptions and to personalize information. Our cookies may contain Personally Identifiable Information and such cookies may be shared with others to the same extent indicated in Section 4.Hearst (or third party service providers on our behalf) may also use cookies to collect aggregate information about web site users on an anonymous basis(""Anonymous Information""). We may share aggregate demographic and usage information with our prospective and actual business partners, advertisers and other third parties for any business purpose.  ","Unnamed third party","Third Party Sharing/Collection"
"8","(ii) Some of our third party partners (including advertisers and marketing services companies) may set and access cookies and similar technologies on your computer as well, or we may do so on their behalf. We do not have control over how these third parties use such cookies and similar technologies or the information derived therefrom.  ","Unnamed third party","Third Party Sharing/Collection"
"8","(ii) Some of our third party partners (including advertisers and marketing services companies) may set and access cookies and similar technologies on your computer as well, or we may do so on their behalf. We do not have control over how these third parties use such cookies and similar technologies or the information derived therefrom.  ","Named third party","Third Party Sharing/Collection"
"12","e. Location Information. We may, and may enable our advertisers to, collect your location via certain services we provide through digital applications, wireless access protocol services (""WAP Services"")or mobile phone service (""Mobile Services""). We, or the service provider, will inform you of such collection at the time you use the service. By using such service, you hereby consent to our collection, use and disclosure of your location information as described.  ","Unnamed third party","Third Party Sharing/Collection"
"12","e. Location Information. We may, and may enable our advertisers to, collect your location via certain services we provide through digital applications, wireless access protocol services (""WAP Services"")or mobile phone service (""Mobile Services""). We, or the service provider, will inform you of such collection at the time you use the service. By using such service, you hereby consent to our collection, use and disclosure of your location information as described.  ","Named third party","Third Party Sharing/Collection"
"20","e. We may create Anonymous Information from PersonallyIdentifiable Information by excluding information (such as your name) that make the data personally identifiable to you. We use this Anonymous Information for any purpose and disclose Anonymous Information to third parties in our sole discretion.  ","Unnamed third party","Third Party Sharing/Collection"
"21","4. Disclosure of Your Information   a. In addition to the other disclosures described in this policy, Hearst may (and you authorize us to) share or disclose Personally Identifiable Information about you to other companies or individuals in the following situations:  ","Unnamed third party","Third Party Sharing/Collection"
"22","(i) We utilize third party service providers to provide products, services or functions on our behalf (such as sending emails or processing credit cards or fulfilling subscriptions), and ask these service providers to agree to maintain the confidentiality of your Personally Identifiable Information and not to use your Personally Identifiable Information for any reason except to carry out the purpose(s) for which we hired them. (""Service ProviderException"").","Unnamed third party","Third Party Sharing/Collection"
"22","(i) We utilize third party service providers to provide products, services or functions on our behalf (such as sending emails or processing credit cards or fulfilling subscriptions), and ask these service providers to agree to maintain the confidentiality of your Personally Identifiable Information and not to use your Personally Identifiable Information for any reason except to carry out the purpose(s) for which we hired them. (""Service ProviderException"").","Named third party","Third Party Sharing/Collection"
"23","  (ii) You have entered a contest or sweepstakes sponsored by a third party, in which case the information you provide via the contest or sweepstakes may be shared by us with that third party for their use in their discretion, including direct marketing. Some of our contests and sweepstakes will ask you at the time of entry whether you would like to have your personal information shared with the sponsor, in which case we will honor your selection. Other contests will not give you that option and in that event, if you do not want your information to be shared, you should not enter the contest. The privacy policies of such third party companies apply to their use and disclosure of your information that we collect and disclose to such third party companies.  ","Unnamed third party","Third Party Sharing/Collection"
"23","  (ii) You have entered a contest or sweepstakes sponsored by a third party, in which case the information you provide via the contest or sweepstakes may be shared by us with that third party for their use in their discretion, including direct marketing. Some of our contests and sweepstakes will ask you at the time of entry whether you would like to have your personal information shared with the sponsor, in which case we will honor your selection. Other contests will not give you that option and in that event, if you do not want your information to be shared, you should not enter the contest. The privacy policies of such third party companies apply to their use and disclosure of your information that we collect and disclose to such third party companies.  ","Unnamed third party","Third Party Sharing/Collection"
"23","  (ii) You have entered a contest or sweepstakes sponsored by a third party, in which case the information you provide via the contest or sweepstakes may be shared by us with that third party for their use in their discretion, including direct marketing. Some of our contests and sweepstakes will ask you at the time of entry whether you would like to have your personal information shared with the sponsor, in which case we will honor your selection. Other contests will not give you that option and in that event, if you do not want your information to be shared, you should not enter the contest. The privacy policies of such third party companies apply to their use and disclosure of your information that we collect and disclose to such third party companies.  ","Named third party","Third Party Sharing/Collection"
"24","(iii) The entity to whom the information is disclosed is a Shared Registration Site (as defined in Section 3(c)above).  ","Other part of company/affiliate","Third Party Sharing/Collection"
"24","(iii) The entity to whom the information is disclosed is a Shared Registration Site (as defined in Section 3(c)above).  ","Named third party","Third Party Sharing/Collection"
"25","(iv) The entity to whom the information is disclosed is an Affiliate of Hearst.  ","Other part of company/affiliate","Third Party Sharing/Collection"
"26","(v) In accordance with your indicated preferences (e.g., you indicated you wanted to receive promotional materials directly from a third party partner).  ","Unnamed third party","Third Party Sharing/Collection"
"27","(vi) The entity is a third party who wants to promote goods and services we think would be of interest to you.  ","Unnamed third party","Third Party Sharing/Collection"
"28","(vii) You have furnished us Personally Identifiable Information with the intent that it be forwarded to a third party for use in connection with a specified service you are electing to participate in (examples include, without limitation, e-commerce partners, services to help old friends locate you online, etc.).  ","Unnamed third party","Third Party Sharing/Collection"
"28","(vii) You have furnished us Personally Identifiable Information with the intent that it be forwarded to a third party for use in connection with a specified service you are electing to participate in (examples include, without limitation, e-commerce partners, services to help old friends locate you online, etc.).  ","Named third party","Third Party Sharing/Collection"
"30","(ix) In connection with a sale, merger, transfer, exchange, or other disposition (whether of assets, stock, or otherwise, including via bankruptcy)of all or a portion of the business conducted by the Covered Site to which this policy applies, in which case the company will possess the Personally Identifiable Information collected by us and will assume the rights and obligations regarding your Personally Identifiable Information as described in this privacy policy (""Acquisition Exception"").  ","Unnamed third party","Third Party Sharing/Collection"
