"8","We run contests in which we ask visitors for contact information (such as their email address). We use this information to contact the winners. We may also use or share contest information with our business and marketing partners to offer you products or services that we believe may be of interest to you.  ","Unnamed third party","Third Party Sharing/Collection"
"8","We run contests in which we ask visitors for contact information (such as their email address). We use this information to contact the winners. We may also use or share contest information with our business and marketing partners to offer you products or services that we believe may be of interest to you.  ","Named third party","Third Party Sharing/Collection"
"9","We allow customers to post reviews and allow visitors to communicate information on products. When posting a review, you can optionally display your name, an alias, or remain anonymous. However, if you disclose personally identifiable information in your review, that information is public information and may increase your chance of receiving unsolicited email. You should use discretion when disclosing information online.  ","Public","Third Party Sharing/Collection"
"10","Automatic Collection of Information: If you purchase any products online, or have any other interaction with our Websites, we will receive and store information that you provide or that is generated by your actions. We may also send you personalized emails. These communications may contain links to our Websites that could include unique identifiers capable of correlating any resulting web activity to the originating email communication. Like many websites, we may use tracking pixels/web beacons, ""cookies"", or other technologies to receive and store certain information, and this information may also be used by certain third-party advertisers with which we have agreements. Our relationship with third-party advertisers is discussed in more detail under the heading ""Third-Party Advertising"" below. For example, cookies are placed on your computer (explained in more detail below) to remember your name and the contents of your shopping cart. This allows you to leave our site, come back later, and still have the contents of your shopping cart intact. It also lets us personalize your experience at our Websites, tailoring the content to your interests. A number of companies offer utilities designed to help you visit websites anonymously, but if you use these utilities, it may limit your ability to use personalized features that we offer.  ","Unnamed third party","Third Party Sharing/Collection"
"10","Automatic Collection of Information: If you purchase any products online, or have any other interaction with our Websites, we will receive and store information that you provide or that is generated by your actions. We may also send you personalized emails. These communications may contain links to our Websites that could include unique identifiers capable of correlating any resulting web activity to the originating email communication. Like many websites, we may use tracking pixels/web beacons, ""cookies"", or other technologies to receive and store certain information, and this information may also be used by certain third-party advertisers with which we have agreements. Our relationship with third-party advertisers is discussed in more detail under the heading ""Third-Party Advertising"" below. For example, cookies are placed on your computer (explained in more detail below) to remember your name and the contents of your shopping cart. This allows you to leave our site, come back later, and still have the contents of your shopping cart intact. It also lets us personalize your experience at our Websites, tailoring the content to your interests. A number of companies offer utilities designed to help you visit websites anonymously, but if you use these utilities, it may limit your ability to use personalized features that we offer.  ","Named third party","Third Party Sharing/Collection"
"10","Automatic Collection of Information: If you purchase any products online, or have any other interaction with our Websites, we will receive and store information that you provide or that is generated by your actions. We may also send you personalized emails. These communications may contain links to our Websites that could include unique identifiers capable of correlating any resulting web activity to the originating email communication. Like many websites, we may use tracking pixels/web beacons, ""cookies"", or other technologies to receive and store certain information, and this information may also be used by certain third-party advertisers with which we have agreements. Our relationship with third-party advertisers is discussed in more detail under the heading ""Third-Party Advertising"" below. For example, cookies are placed on your computer (explained in more detail below) to remember your name and the contents of your shopping cart. This allows you to leave our site, come back later, and still have the contents of your shopping cart intact. It also lets us personalize your experience at our Websites, tailoring the content to your interests. A number of companies offer utilities designed to help you visit websites anonymously, but if you use these utilities, it may limit your ability to use personalized features that we offer.  ","Named third party","Third Party Sharing/Collection"
"16","We or our partners may also use Flash Cookies (also known as Local Stored Objects) or other similar technologies. A Flash Cookie is a small data file placed on a computer using Adobe Flash or similar technology that may be built into your computer or downloaded or installed by you to your computer. We use these technologies to personalize and enhance your online experience, facilitate processes, personalize and store your settings. Flash cookies may help our Website visitors to, for example, set volume preference associated with a video experience, play games and perform surveys. They help us improve our sites by measuring which areas are of greatest interest to customers. They may be recognized by other sites or by our marketing or business partners. Flash cookies are different from browser cookies and the cookie management tools provided by your browser may not remove Flash cookies. Click here to learn how to manage privacy and storage settings for Flash cookies. If you disable Flash cookies or other similar technologies, please be aware that you may not have access to certain features and services that make your online experience more efficient and enjoyable.  ","Unnamed third party","Third Party Sharing/Collection"
"17"," Sharing of Information    Tournaments: If you register for tournaments through GameStop, we may share your registration data with the tournament host and they may use it for internal tracking and analytics. For instance, if you give us your Xbox Live Gamertag for a Microsoft tournament, Microsoft will use that information for internal research.  ","Unnamed third party","Third Party Sharing/Collection"
"17"," Sharing of Information    Tournaments: If you register for tournaments through GameStop, we may share your registration data with the tournament host and they may use it for internal tracking and analytics. For instance, if you give us your Xbox Live Gamertag for a Microsoft tournament, Microsoft will use that information for internal research.  ","Named third party","Third Party Sharing/Collection"
"17"," Sharing of Information    Tournaments: If you register for tournaments through GameStop, we may share your registration data with the tournament host and they may use it for internal tracking and analytics. For instance, if you give us your Xbox Live Gamertag for a Microsoft tournament, Microsoft will use that information for internal research.  ","Named third party","Third Party Sharing/Collection"
"18","Sharing with Third Parties. We may share customer information that we collect with third parties. Usually, this information will be shared with a third party that has relationship with us as a business partner or marketing partner (see information on Third-Party Relationships below). Also, we may use the information that you provide us, or that we collect about you, in connection with the promotion of our products and services and those of our affiliates.  ","Unnamed third party","Third Party Sharing/Collection"
"18","Sharing with Third Parties. We may share customer information that we collect with third parties. Usually, this information will be shared with a third party that has relationship with us as a business partner or marketing partner (see information on Third-Party Relationships below). Also, we may use the information that you provide us, or that we collect about you, in connection with the promotion of our products and services and those of our affiliates.  ","Named third party","Third Party Sharing/Collection"
"19","Sharing with our Contractors. We also may employ other companies and individuals to perform functions on our behalf. Examples include order fulfillment, package delivery, postal mail and email communications, customer lists management, data analysis, marketing services and assistance which may include content and ads presented on other websites or mobile applications, credit card processing, and customer relationship management. These companies and individuals have access to personal information needed to perform their functions, but they are not permitted to use such information for other purposes without our permission. A more detailed discussion of our relationship with certain third-party advertisers is set forth below under the heading ""Third-Party Advertising"".  ","Named third party","Third Party Sharing/Collection"
"19","Sharing with our Contractors. We also may employ other companies and individuals to perform functions on our behalf. Examples include order fulfillment, package delivery, postal mail and email communications, customer lists management, data analysis, marketing services and assistance which may include content and ads presented on other websites or mobile applications, credit card processing, and customer relationship management. These companies and individuals have access to personal information needed to perform their functions, but they are not permitted to use such information for other purposes without our permission. A more detailed discussion of our relationship with certain third-party advertisers is set forth below under the heading ""Third-Party Advertising"".  ","Unnamed third party","Third Party Sharing/Collection"
"21","Sale or Acquisition of Business Units. As we continue to develop our business, we may buy or sell business divisions or companies, we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company. We may provide any information we have to a potential counter-party in any such potential transaction. If such a transaction is completed, customer information generally is one of the transferred and shared business assets. The information transferred and shared remains subject to the promises made in any pre-existing privacy notice (unless, of course, the customer has agreed to be subject to new privacy notice terms).  ","Other","Third Party Sharing/Collection"
"21","Sale or Acquisition of Business Units. As we continue to develop our business, we may buy or sell business divisions or companies, we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company. We may provide any information we have to a potential counter-party in any such potential transaction. If such a transaction is completed, customer information generally is one of the transferred and shared business assets. The information transferred and shared remains subject to the promises made in any pre-existing privacy notice (unless, of course, the customer has agreed to be subject to new privacy notice terms).  ","Named third party","Third Party Sharing/Collection"
"21","Sale or Acquisition of Business Units. As we continue to develop our business, we may buy or sell business divisions or companies, we may merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company. We may provide any information we have to a potential counter-party in any such potential transaction. If such a transaction is completed, customer information generally is one of the transferred and shared business assets. The information transferred and shared remains subject to the promises made in any pre-existing privacy notice (unless, of course, the customer has agreed to be subject to new privacy notice terms).  ","Unnamed third party","Third Party Sharing/Collection"
