"4","By interacting with Barnes & Noble in the manner described in this Privacy Policy at any time, you are accepting the practices described in this Privacy Policy and you consent to the application of this Privacy Policy to the collection, storage, use and disclosure of all your personal and other information as described.  ","Implicit"
"11"," 1. What is the personal information that we collect?    Depending on how you choose to interact with the Barnes & Noble enterprise, we may collect personal information from you, for example your name, e-mail address, billing address, shipping address, phone number, credit card or bank account information, date of birth and other persistent identifiers that can be used to personally identify you. If you rent, purchase or otherwise place orders for textbooks or e-textbooks from Barnes & Noble College Booksellers, we may also collect your student or faculty identification number, financial aid number, your driver license number, information regarding courses you enroll in or teach, your program of study and graduation year. We may also collect other personal information regarding your interaction with Barnes & Noble Websites, Devices and Apps, including usage information, the items that you browse, purchase, download, read, watch and otherwise access, and your geographic location. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Implicit"
"11"," 1. What is the personal information that we collect?    Depending on how you choose to interact with the Barnes & Noble enterprise, we may collect personal information from you, for example your name, e-mail address, billing address, shipping address, phone number, credit card or bank account information, date of birth and other persistent identifiers that can be used to personally identify you. If you rent, purchase or otherwise place orders for textbooks or e-textbooks from Barnes & Noble College Booksellers, we may also collect your student or faculty identification number, financial aid number, your driver license number, information regarding courses you enroll in or teach, your program of study and graduation year. We may also collect other personal information regarding your interaction with Barnes & Noble Websites, Devices and Apps, including usage information, the items that you browse, purchase, download, read, watch and otherwise access, and your geographic location. To review Barnes & Noble's Mobile Privacy Supplement optimized for reading on mobile devices, please click here.  ","Implicit"
"12"," 2. Why do we collect personal information?    We collect your personal information in an effort to provide you with a superior customer experience and, as necessary, to administer our business. It allows us to provide you with easy access to our products and services, with a particular focus on the items and programs that may be of most interest to you. For more information as to why we collect personal information, please see the section below entitled: ""How do we use your personal information?""  ","Implicit"
"14"," 3. How do we collect your personal information?     (a) Information that you provide to us    As a general matter, you can browse in our stores and on the Barnes & Noble Websites without submitting your personal information to us, although we may receive and collect certain personal information automatically, as outlined in Section 3(b) of this Privacy Policy, including site analytics regarding our websites, information your Internet browser automatically sends when you visit our websites, and information collected by cookies.  ","Implicit"
"15","However, there are a number of circumstances in which you may need to provide us with your personal information. The most common of these circumstances include:     Making a purchase or placing an order     Creating an account or joining the Member Loyalty Program     Applying for a Barnes & Noble MasterCard     Using specific features of Barnes & Noble Websites, Devices and Apps     Contacting customer service     Additional Barnes & Noble Website, Device or App Features     Interacting with social networking sites     Entering a sweepstakes or contest     Publishing through NOOK Press     Signing up for promotional communications or using Invite-a-Friend or NOOK Press Collaborator emails  ","Explicit"
"17"," Making a purchase or placing an order    When you make a purchase, rent or place an order in our stores, place an order online or purchase, download, rent or stream books, periodicals, movies, television shows and other digital content (""Digital Content""), you may need to submit personal information to us.  ","Explicit"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Explicit"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Explicit"
"18"," Creating an account or joining the Member Loyalty Program    In order to use Devices, certain Apps and features of Barnes & Noble Websites, or to purchase or access Digital Content, you may be required to create a password-protected user account and provide us with personal information when you do so. Similarly, when you enroll in our Member Loyalty Program, we will ask you to submit personal information as part of your member profile. We will store and use this information to administer the programs and services in which you choose to participate, and as permitted by this Privacy Policy.  ","Explicit"
