"3","By using the Site, you are accepting the practices described in this Privacy Statement, as modified by us from time to time. If we change this Privacy Statement, we will post a notice on the home page of www.cariboucoffee.com and change the date at the top of this Privacy Statement, so that you are always aware of the information that we collect and how we use it. Therefore, we encourage you to check this page periodically for updates or changes whenever you visit the Site.  ","Dont use service/feature"
"4","All changes will become effective when posted, and by continuing to use the Site following the posting of any changes, you agree to be bound by such modified Privacy Statement.  ","Dont use service/feature"
"10"," Submitting an Order    When you submit an order we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information. Your credit card information is sent to, and processed by third party financial institutions and their vendors. These service providers receive this information only for the purpose of verifying your credit card information, and for processing payment for your order, and they are obligated to keep this information confidential.  ","Dont use service/feature"
"10"," Submitting an Order    When you submit an order we ask for your name, email address, billing address, shipping address, telephone number, fax number and credit card information. Your credit card information is sent to, and processed by third party financial institutions and their vendors. These service providers receive this information only for the purpose of verifying your credit card information, and for processing payment for your order, and they are obligated to keep this information confidential.  ","Dont use service/feature"
"11"," Registering your Caribou Gift Card    When you register your Caribou Gift Card on the Site, we ask for your name, email address, phone number and mailing address. This information is collected solely for the administration of our Caribou Gift Card program, and for replacing your Caribou Gift Card in the event it is lost or stolen.  ","Dont use service/feature"
"12"," Submitting a Resume    If you are interested in applying for a job with Caribou Coffee, we collect the information asked for in the online application, and we use that information solely for the purpose of matching your experience and preferences with the job openings we have, and someone from Caribou Coffee may contact you to ask for your resume and to discuss potential employment opportunities. The information you submit is used solely for the purposes of recruiting and is not shared with any third party.  ","Dont use service/feature"
"12"," Submitting a Resume    If you are interested in applying for a job with Caribou Coffee, we collect the information asked for in the online application, and we use that information solely for the purpose of matching your experience and preferences with the job openings we have, and someone from Caribou Coffee may contact you to ask for your resume and to discuss potential employment opportunities. The information you submit is used solely for the purposes of recruiting and is not shared with any third party.  ","Dont use service/feature"
"13","Please note that by submitting your information regarding employment opportunities with Caribou Coffee, you authorize us to transmit and store your information in our recruitment database, and to circulate that information as necessary for the purpose of evaluating your qualifications for job vacancies at Caribou Coffee.  ","Opt-in"
"18","You can choose to have your browser warn you every time a cookie is being sent to you or you can turn off your computer's ability to receive cookies. If you refuse cookies, you will not be able to open a shopping cart on the Site, and therefore will not be able to complete an order with us online.  ","Browser/device privacy controls"
"20","With both cookies and Spotlight technology, the information that we collect and share is anonymous and not personally identifiable. It does not contain your name, address, telephone number, or email address. For more information about DoubleClick, including information about how to opt out of these technologies, go to http://www.doubleclick.net/us/corporate/privacy.  ","Opt-out link"
"20","With both cookies and Spotlight technology, the information that we collect and share is anonymous and not personally identifiable. It does not contain your name, address, telephone number, or email address. For more information about DoubleClick, including information about how to opt out of these technologies, go to http://www.doubleclick.net/us/corporate/privacy.  ","Opt-out link"
"23"," Communications from Caribou Coffee    When registering your Caribou Gift Card, you may, sign up for a free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee. If you do not sign up for the product update or birthday greeting emails you will not receive them.  ","Opt-in"
"23"," Communications from Caribou Coffee    When registering your Caribou Gift Card, you may, sign up for a free eNewsletter, which contains product update information and a birthday greetings email on your birthday from Caribou Coffee. If you do not sign up for the product update or birthday greeting emails you will not receive them.  ","Opt-in"
"24","Upon placing an order on www.cariboucoffee.com you will receive an email confirmation notifying you that we have received your order.  ","Dont use service/feature"
"28","Any comments or materials sent to Caribou Coffee through this Site, including all feedback, questions, comments, suggestions, questionnaires and the like, shall become the sole property of Caribou Coffee. Caribou Coffee shall be free to use any such suggestions, comments, concepts and the like for any and all purposes of its sole choosing, without payment of any compensation.  ","Dont use service/feature"
"31"," Cell Phone  Caribou will only send our customers text messages regarding promotional offers or other news if a customer specifically grants us permission. A customer has the right to choose not to receive Caribou text messages by simply notifying us of their preference or responding STOP to 65017. This process is commonly termed opting-out or unsubscribing.  ","Opt-in"
"31"," Cell Phone  Caribou will only send our customers text messages regarding promotional offers or other news if a customer specifically grants us permission. A customer has the right to choose not to receive Caribou text messages by simply notifying us of their preference or responding STOP to 65017. This process is commonly termed opting-out or unsubscribing.  ","Opt-out via contacting company"
